BGP table version is 0, local router ID is 100.100.174.206
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 10.0.80.19/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.20/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.21/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.22/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.35/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.36/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.37/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.38/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.39/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.40/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.41/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.42/32    100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.43/32    100.100.243.130                        0 65084 64601 64621 64621 64621 64621 64621 i
*> 10.0.80.44/32    100.100.243.130                        0 65084 64601 64621 64621 64621 64621 64621 i
*> 10.0.80.45/32    100.100.243.130                        0 65084 64601 64621 64621 64621 64621 64621 i
*> 10.0.80.46/32    100.100.243.130                        0 65084 64601 64621 64621 64621 64621 64621 i
*> 10.0.80.48/29    100.100.243.130                        0 65084 64601 i
*> 10.0.80.128/32   100.100.243.130                        0 65084 64601 i
*> 10.0.80.129/32   100.100.243.130                        0 65084 64601 i
*> 10.0.80.130/32   100.100.243.130                        0 65084 64601 i
*> 10.0.80.131/32   100.100.243.130                        0 65084 64601 i
*> 10.0.80.132/32   100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.133/32   100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.134/32   100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.135/32   100.100.243.130                        0 65084 64601 64620 i
*> 10.0.80.158/32   100.100.243.130                        0 65084 64601 64621 64621 64621 64621 64621 i
*> 10.0.80.159/32   100.100.243.130                        0 65084 64601 64621 64621 64621 64621 64621 i
*> 10.0.83.128/25   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.84.94/32    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.96.0/20     100.100.243.130                        0 65084 64601 i
*> 10.0.96.5/32     100.100.243.130                        0 65084 64601 i
*> 10.0.96.6/32     100.100.243.130                        0 65084 64601 i
*> 10.0.96.7/32     100.100.243.130                        0 65084 64601 i
*> 10.0.96.8/32     100.100.243.130                        0 65084 64601 i
*> 10.0.96.11/32    100.100.243.130                        0 65084 64601 i
*> 10.0.96.12/32    100.100.243.130                        0 65084 64601 i
*> 10.0.96.13/32    100.100.243.130                        0 65084 64601 i
*> 10.0.96.14/32    100.100.243.130                        0 65084 64601 i
*> 10.0.96.15/32    100.100.243.130                        0 65084 64601 i
*> 10.0.96.16/32    100.100.243.130                        0 65084 64601 i
*> 10.0.96.40/29    100.100.243.130                        0 65084 64601 i
*> 10.0.98.0/28     100.100.243.130                        0 65084 64601 i
*> 10.0.98.16/28    100.100.243.130                        0 65084 64601 i
*> 10.0.98.32/29    100.100.243.130                        0 65084 64601 i
*> 10.0.98.56/29    100.100.243.130                        0 65084 64601 i
*> 10.0.98.64/28    100.100.243.130                        0 65084 64601 i
*> 10.0.98.80/28    100.100.243.130                        0 65084 64601 i
*> 10.0.98.96/28    100.100.243.130                        0 65084 64601 i
*> 10.0.98.112/28   100.100.243.130                        0 65084 64601 i
*> 10.0.98.128/28   100.100.243.130                        0 65084 64601 i
*> 10.0.98.144/28   100.100.243.130                        0 65084 64601 i
*> 10.0.98.160/28   100.100.243.130                        0 65084 64601 i
*> 10.0.98.176/28   100.100.243.130                        0 65084 64601 i
*> 10.0.98.192/28   100.100.243.130                        0 65084 64601 i
*> 10.0.98.208/28   100.100.243.130                        0 65084 64601 i
*> 10.0.98.224/28   100.100.243.130                        0 65084 64601 i
*> 10.0.98.240/28   100.100.243.130                        0 65084 64601 i
*> 10.0.99.0/28     100.100.243.130                        0 65084 64601 i
*> 10.0.99.16/28    100.100.243.130                        0 65084 64601 i
*> 10.0.99.32/28    100.100.243.130                        0 65084 64601 i
*> 10.0.99.48/28    100.100.243.130                        0 65084 64601 i
*> 10.0.99.64/28    100.100.243.130                        0 65084 64601 i
*> 10.0.99.80/28    100.100.243.130                        0 65084 64601 i
*> 10.0.99.96/28    100.100.243.130                        0 65084 64601 i
*> 10.0.99.112/28   100.100.243.130                        0 65084 64601 i
*> 10.0.99.128/28   100.100.243.130                        0 65084 64601 i
*> 10.0.99.144/28   100.100.243.130                        0 65084 64601 i
*> 10.0.99.160/28   100.100.243.130                        0 65084 64601 i
*> 10.0.99.176/28   100.100.243.130                        0 65084 64601 i
*> 10.0.99.192/28   100.100.243.130                        0 65084 64601 i
*> 10.0.99.208/28   100.100.243.130                        0 65084 64601 i
*> 10.0.106.94/31   100.100.243.130                        0 65084 64601 i
*> 10.0.106.128/26  100.100.243.130                        0 65084 64601 i
