BGP table version is 0, local router ID is 100.100.174.206
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 10.40.164.128/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.144/28 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.144/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.160/28 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.160/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.176/28 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.176/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.192/28 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.192/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.208/28 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.208/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.224/28 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.224/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.240/28 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.164.240/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.0/28   100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.0/30   100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.4/30   100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.16/28  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.16/30  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.20/30  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.32/28  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.32/30  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.36/30  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.48/28  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.48/30  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.52/30  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.64/28  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.64/30  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.68/30  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.80/28  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.80/30  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.84/30  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.96/28  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.96/30  100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.100/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.112/28 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.112/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.116/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.128/28 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.128/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.132/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.144/28 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.144/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.40.165.148/30 100.100.243.130                        0 65084 64693 65091 64698 i
*> 10.44.32.0/19    100.100.243.130                        0 65084 64601 i
*> 10.44.64.0/19    100.100.243.130                        0 65084 64601 ?
*> 10.44.96.0/19    100.100.243.130                        0 65084 64601 ?
*> 10.46.204.0/28   100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.0/30   100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.16/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.16/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.32/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.32/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.48/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.48/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.64/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.64/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.80/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.80/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.96/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.96/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.112/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.112/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.128/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.128/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.144/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.144/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.160/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.160/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.176/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.176/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.192/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.192/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.208/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.208/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.224/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.224/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.240/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.204.240/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.0/28   100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.0/30   100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.16/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.16/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.32/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.32/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.48/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.48/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.64/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.64/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.80/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.80/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.96/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.96/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.112/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.112/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.128/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.128/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.224/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.224/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.240/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.205.240/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.0/28   100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.0/30   100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.16/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.16/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.32/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.32/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.128/32 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.129/32 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.130/32 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.131/32 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.132/32 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.133/32 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.134/32 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.135/32 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.136/31 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.206.138/31 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.0/28   100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.0/30   100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.4/30   100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.16/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.16/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.20/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.32/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.32/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.36/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.48/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.48/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.52/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.64/28  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.64/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.68/30  100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.160/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.160/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.164/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.176/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.176/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.180/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.192/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.192/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.196/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.208/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.208/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.212/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.224/28 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.224/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.46.207.228/30 100.100.243.130                        0 65084 64601 64644 64698 i
*> 10.48.0.0/18     100.100.243.130                        0 65084 64601 i
*> 10.48.10.19/32   100.100.243.130                        0 65084 64601 i
*> 10.48.10.20/32   100.100.243.130                        0 65084 64601 i
*> 10.48.10.21/32   100.100.243.130                        0 65084 64601 i
*> 10.48.10.22/32   100.100.243.130                        0 65084 64601 i
*> 10.48.12.0/24    100.100.243.130                        0 65084 64601 i
*> 10.48.80.0/24    100.100.243.130                        0 65084 64601 i
*> 10.48.81.0/24    100.100.243.130                        0 65084 64601 i
*> 10.48.82.0/24    100.100.243.130                        0 65084 64601 i
*> 10.48.96.0/21    100.100.243.130                        0 65084 64693 65091 64522 ?
*> 10.48.104.0/21   100.100.243.130                        0 65084 64693 65091 64522 ?
*> 10.48.112.0/21   100.100.243.130                        0 65084 64693 65091 64522 ?
*> 10.48.120.0/21   100.100.243.130                        0 65084 64693 65091 64522 ?
*> 10.54.0.0/15     100.100.243.130                        0 65084 64601 i
*> 10.54.8.0/28     100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.0/30     100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.16/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.16/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.32/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.32/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.48/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.48/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.64/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.64/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.80/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.80/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.96/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.96/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.112/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.112/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.128/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.128/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.144/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.144/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.160/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.160/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.176/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.176/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.192/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.192/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.208/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.208/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.224/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.224/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.240/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.8.240/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.0/28     100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.0/30     100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.16/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.16/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.32/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.32/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.48/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.48/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.64/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.64/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.80/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.80/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.96/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.96/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.112/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.112/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.128/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.128/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.224/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.224/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.240/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.9.240/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.10.0/28    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.10.0/30    100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.10.16/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.10.16/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.10.32/28   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.10.32/30   100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.54.10.128/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.128/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.132/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.144/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.144/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.148/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.160/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.160/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.164/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.176/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.176/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.180/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.192/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.192/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.196/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.208/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.208/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.212/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.224/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.224/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.228/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.240/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.240/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.10.244/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.0/28    100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.0/30    100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.4/30    100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.16/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.16/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.20/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.32/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.32/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.36/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.48/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.48/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.52/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.64/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.64/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.68/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.80/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.80/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.84/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.96/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.96/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.100/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.112/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.112/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.116/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.128/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.128/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.132/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.144/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.144/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.148/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.160/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.160/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.164/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.176/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.176/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.180/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.192/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.192/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.196/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.208/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.208/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.212/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.224/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.224/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.228/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.240/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.240/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.11.244/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.0/28    100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.0/30    100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.4/30    100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.16/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.16/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.20/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.32/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.32/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.36/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.48/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.48/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.52/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.64/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.64/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.68/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.80/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.80/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.84/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.96/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.96/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.100/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.112/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.112/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.116/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.128/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.128/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.132/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.144/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.144/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.148/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.160/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.160/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.164/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.176/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.176/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.180/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.192/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.192/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.196/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.208/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.208/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.212/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.224/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.224/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.228/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.240/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.240/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.12.244/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.0/28    100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.0/30    100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.4/30    100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.16/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.16/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.20/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.32/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.32/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.36/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.48/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.48/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.52/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.64/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.64/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.68/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.80/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.80/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.84/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.96/28   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.96/30   100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.100/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.112/28  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.112/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.116/30  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.54.13.128/28  100.100.243.130                        0 65084 64601 64621 64698 i
